"Titulo","Direção","Nota","Link","Ano","Categoria"
"O Poderoso Chefão","Francis Ford Coppola","4.8","https://www.adorocinema.com/filmes/filme-1628/","24 de março de 1972","N/A"
"Um Sonho de Liberdade","Frank Darabont","4.8","https://www.adorocinema.com/filmes/filme-11736/","25 de janeiro de 1995","N/A"
"A Lista de Schindler","Steven Spielberg","3.9","https://www.adorocinema.com/filmes/filme-9393/","31 de dezembro de 1993","N/A"
"Forrest Gump - O Contador de Histórias","Robert Zemeckis","4.7","https://www.adorocinema.com/filmes/filme-10568/","7 de dezembro de 1994","N/A"
"O Rei Leão","Roger Allers                                                                                                                                                                                                                                   Rob Minkoff","4.7","https://www.adorocinema.com/filmes/filme-10862/","8 de julho de 1994","N/A"
"À Espera de um Milagre","Frank Darabont","4.7","https://www.adorocinema.com/filmes/filme-22779/","10 de março de 2000","N/A"
"O Senhor dos Anéis - O Retorno do Rei","Peter Jackson","4.7","https://www.adorocinema.com/filmes/filme-39187/","25 de dezembro de 2003","N/A"
"A Vida é Bela","Roberto Benigni","4.7","https://www.adorocinema.com/filmes/filme-64439/","5 de fevereiro de 1999","N/A"
"Batman - O Cavaleiro Das Trevas","Christopher Nolan","4.7","https://www.adorocinema.com/filmes/filme-115362/","18 de julho de 2008","N/A"
"Vingadores: Ultimato","Joe Russo                                                                                                                                                                                                                                   Anthony Russo","3.9","https://www.adorocinema.com/filmes/filme-232669/","25 de abril de 2019","N/A"
